name,country,sports,age,gender,philosophy,ambition,hero
AAJIM Munkhbat,Mongolia, Judo,32,Male,,,
ABARZA Alberto,Chile, Swimming,36,Male,"""Swimming is not an individual sport. Certainly I am the one who swims, but behind me there is a huge team and every single one is essential."" (Teleton Chile, 10 Sep 2016)","To compete at the 2020 Paralympic Games in Tokyo. (vergara240.udp.cl, 03 Sep 2020)","Chilean tennis player Marcelo Rios, Brazilian swimmer Cesar Cielo. (Athlete, 10 Sep 2019)"
ABASLI Namig,Azerbaijan, Judo,23,Male,,,
ABASSI Mostefa,Algeria, Wheelchair Basketball,43,Male,"""What doesn't kill you makes you stronger."" (Athlete, 05 May 2016)",,"US basketballer LeBron James. (Athlete, 26 Aug 2021)"
ABBAD Abderraouf,Algeria, Wheelchair Basketball,34,Male,,,"His father. (Athlete, 26 Aug 2021)"
ABDALLA Ashraf,Egypt, Sitting Volleyball,47,Male,,,"Egyptian volleyball player Abdallah Abdelsalam. (Athlete, 25 Aug 2021)"
ABOUELYAZEID Mohamed,Egypt, Sitting Volleyball,42,Male,,,
ABDELALI Samiha,Algeria, Wheelchair Basketball,33,Female,"""One day for you and one day against you."" (Athlete, 14 Aug 2016)",,"Her mother, and coach Abbaz Selim. (Athlete, 25 Aug 2021, 14 Aug 2016)"
ABDELAZIZ Gihan,Egypt, Powerlifting,46,Female,,,"Her mother. (Athlete, 12 Jul 2019)"
ELKHARSA Ahmed,Egypt, Sitting Volleyball,23,Male,,,
ABDELHADY Hany,Egypt, Powerlifting,41,Male,"""Focus on your goal, work on reaching it, and renew it every now and then to encourage yourself, and eventually you will reach it."" (rosaelyoussef.com, 18 Aug 2020)","To win a medal at the 2020 Paralympic Games in Tokyo, to set a world record, and to compete at the 2024 Paralympic Games in Paris. (rosaelyoussef.com, 27 Apr 2021; Athlete, 25 Aug 2021)","Coach Shabaan Desouky. (Athlete, 03 May 2021)"
ABDELLAOUI Cherine,Algeria, Judo,23,Female,,,
ABDELLATIF Abdelnaby,Egypt, Sitting Volleyball,49,Male,,,
ABDELLI Rima,Tunisia, Athletics,33,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 02 Oct 2019)","US swimmer Michael Phelps. (Athlete, 15 Jul 2017)"
ABDELMAJID Taha,Egypt, Powerlifting,34,Male,,"To win a medal at the 2020 Paralympic Games in Tokyo. (Athlete, 31 May 2021)","Egyptian Para powerlifter Shaaban Yahya El Desouky. (Athlete, 31 May 2021)"
ABDELSHAFI Malak,Egypt, Swimming,18,Female,"""Never let your head drop. Never give up or sit down and grieve. Find another way."" (Athlete, 21 Mar 2020)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (Athlete, 25 Aug 2021)","US swimmer Michael Phelps, British swimmer Adam Peaty, Egyptian footballer Mohamed Salah. (Athlete, 11 Mar 2019, 08 Dec 2017)"
ABDI Hassan,Islamic Republic of Iran, Wheelchair Basketball,35,Male,,,
ABDULKHABIBOV Azizbek,Uzbekistan, Canoe Sprint,27,Male,,"To win a gold medal at the Paralympic Games. (fergana.uz, 19 Feb 2020)",
ABDULLAKHANLI Kanan,Azerbaijan, Judo,34,Male,,,
ABDULRAHEEM Kovan,Iraq, Athletics,33,Male,"""It is important to reach the top, but what is more important is how you are able to maintain the top."" (Athlete, 20 Jul 2017)",,"His father. (Athlete, 08 Nov 2019)"
ABDYKHALYKOVA Gulbanu,Kazakhstan, Powerlifting,48,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (Athlete, 07 Feb 2019)","Kazakhstani powerlifter Lyazat Salimzhanova. (Athlete, 28 Aug 2016)"
ABE Chisato,Japan, Wheelchair Fencing,42,Female,,,
ABIDAR Mohamed,Libya, Taekwondo,31,Male,,,"His parents. (Athlete, 28 Aug 2021)"
ABIDOGUN Ola,Great Britain, Athletics,28,Male,"""It's not about the disability, it's about the ability."" (blottr.com, 23 Aug 2012)","To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 05 Jan 2020)","Jamaican sprinter Usain Bolt. (btplc.com, 31 Dec 2009)"
ABILKHASSYMKYZY Saltanat,Kazakhstan, Athletics,21,Female,,"To win a medal at the 2020 Paralympic Games in Tokyo. (Athlete, 19 Aug 2021)","Kazakhstani Para swimmer Zulfiya Gabidullina. (Athlete, 19 Aug 2021)"
ABLINGER Walter,Austria, Cycling Road,52,Male,"""Live your dream. Success starts in your head."" (Athlete, 13 Dec 2011)","To compete at the 2020 Paralympic Games in Tokyo. (tips.at, 09 Apr 2020)","US actor Arnold Schwarzenegger, Italian racing driver and Para cyclist Alex Zanardi. (Athlete, 22 Aug 2021)"
ABOHEGAZY Salma,Egypt, Taekwondo,18,Female,,,
ABOUELKHIR Metawa,Egypt, Sitting Volleyball,44,Male,,"To win gold at the 2020 Paralympic Games in Tokyo. (Athlete, 25 Aug 2021)",
ABRAHAM de DEUS Michel Gustavo,Brazil, Athletics,23,Male,"""When competing I think about my family, I think about how hard I worked to get there. I think of everyone who helped me. How hard I tried, how hard others tried to help me."" (blastingnews.com, 25 Dec 2017)","To win a medal at the 2020 Paralympic Games in Tokyo. (blastingnews.com, 25 Dec 2017)",
ABRAHAM GEBRU Daniel,Netherlands, Cycling Road,36,Male,,"To win two gold medals - one in track cycling and one in road cycling - at the 2020 Paralympic Games in Tokyo. (beatcyclingclub.com, 03 Feb 2020)",
ABRAHAM GEBRU Daniel,Netherlands, Cycling Track,36,Male,,"To win two gold medals - one in track cycling and one in road cycling - at the 2020 Paralympic Games in Tokyo. (beatcyclingclub.com, 03 Feb 2020)",
ABRAHAMS David Henry,United States of America, Swimming,20,Male,"""I really want to make an impact not only on the times I'm putting forward, but I want to show people that are in my situation that you don't have to sacrifice your goals and your dreams just because of the position you're in. I'm hoping that's what my legacy could be."" (teamusa.org, 10 Jun 2021)","To compete in more than one event at the 2020 Paralympic Games in Tokyo. (teamusa.org, 10 Jun 2021)",
ABSHIR OMAR Mahdi,Somalia, Athletics,32,Male,"""I encourage every person with an impairment to believe in themselves, that they can achieve anything they want. Don't give up."" (Dalsoor YouTube channel, 24 Jul 2017)",,
ABU AWAD Khetam,Jordan, Table Tennis,46,Female,,,
ABUD CORONADO Jose Manuel,Dominican Republic, Powerlifting,46,Male,"""You can do it."" (Athlete, 21 May 2019)","To compete at the 2020 Paralympic Games in Tokyo. (Athlete, 21 May 2019)","Italian Moto GP rider Valentino Rossi. (Athlete, 21 May 2019)"
ABUZARLI Abulfaz,Azerbaijan, Taekwondo,30,Male,,"To win a medal at the 2020 Paralympic Games in Tokyo. (Athlete, 11 Jun 2021)","Jordanian taekwondo athlete Ahmad Abughaush, Korean taekwondo athlete Lee Dae-Hoon, Azerbaijani taekwondo athletes Niyamaddin Pashayev and Milad Beigi. (Athlete, 11 Jun 2021)"
ACAR Deniz,Turkey, Wheelchair Basketball,45,Male,,,
ACCARDI Federico,Argentina, Football 5-a-side,32,Male,"""Live football like life."" (Athlete, 01 Apr 2016)",,"Argentinian footballer Lionel Messi. (Athlete, 01 Apr 2016)"
ACEITUNO Herbert,El Salvador, Powerlifting,35,Male,"""Disability is in the mind, not the body."" (Athlete, 24 Aug 2021)","To win a medal at the Paralympic Games. (elmetropolitanodigital.com, 04 Nov 2018)","Brazilian footballer Ronaldinho. (Athlete, 05 Dec 2017)"
ACEVES PEREZ Haidee Viviana,Mexico, Swimming,28,Female,"""When you want to do something with all your heart and all your strength, you'll always achieve it. There is no barrier or obstacle."" (informador.com.mx, 17 Sep 2014)",,
ACHENZA Giovanni,Italy, Triathlon,50,Male,,,
ACOSTA MANJARRES Yamil David,Colombia, Athletics,23,Male,"""Limits can be broken."" (Athlete, 22 Aug 2021)",,"Argentinian footballer Lionel Messi. (Athlete, 22 Aug 2021)"
ACOSTA RODRIGUEZ Adolfo,Spain, Football 5-a-side,40,Male,"""When I play Para football I feel free because on the pitch I don't need my stick or the help of anybody else. I have always been quite shy and sport has brought me many things, like happiness, orientation, meeting people, travelling and learning how to live with different groups of people."" (ONCE Twitter profile, 29 May 2018; dxtadaptado.com, 24 May 2018)",,
ACOSTA SOTO Omar Jose,Colombia, Athletics,21,Male,,"To win a medal at the 2020 Paralympic Games in Tokyo. (primertiempo.co, 19 Nov 2020)",
ADALSTEINSDOTTIR Bergrun Osk,Iceland, Athletics,20,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (ruv.is, 12 Dec 2019)","Jamaican sprinter Usain Bolt, German Para long jumper Markus Rehm. (Athlete, 19 Nov 2019)"
ADAMI Zsanett,Hungary, Swimming,26,Female,"""To overcome the almost impossible."" (Athlete, 13 Jul 2015)","To compete at the 2020 Paralympic Games in Tokyo. She also plans to study for a master's degree and doctorate degree. (hparalimpia.hu, 01 Mar 2020; femcafe.hu, 20 Feb 2020)","Hungarian swimmer Daniel Gyurta. (Athlete, 12 Sep 2019)"
ADAMS Lisa,New Zealand, Athletics,30,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (newsroom.co.nz, 21 Dec 2020)",
