name,country,sports,age,gender,philosophy,ambition,hero,philosophy_lemma,ambition_lemma,hero_list
AAJIM Munkhbat,Mongolia, Judo,32,Male,none,none,none,['none'],['none'],['none']
ABARZA Alberto,Chile, Swimming,36,Male,"Swimming is not an individual sport. Certainly I am the one who swims, but behind me there is a huge team and every single one is essential.",To compete at the 2020 Paralympic Games in Tokyo.,"Chilean tennis player Marcelo Rios, Brazilian swimmer Cesar Cielo.","['swimming', 'be', 'not', 'an', 'individual', 'sport', '.', 'certainly', '-PRON-', 'be', 'the', 'one', 'who', 'swim', ',', 'but', 'behind', '-PRON-', 'there', 'be', 'a', 'huge', 'team', 'and', 'every', 'single', 'one', 'be', 'essential', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']","['Chilean tennis player Marcelo Rios', 'Brazilian swimmer Cesar Cielo']"
ABASLI Namig,Azerbaijan, Judo,23,Male,none,none,none,['none'],['none'],['none']
ABASSI Mostefa,Algeria, Wheelchair Basketball,43,Male,What doesn't kill you makes you stronger.,none,US basketballer LeBron James.,"['what', 'do', 'not', 'kill', '-PRON-', 'make', '-PRON-', 'strong', '.']",['none'],['US basketballer LeBron James']
ABBAD Abderraouf,Algeria, Wheelchair Basketball,34,Male,none,none,His father.,['none'],['none'],['His father']
ABDALLA Ashraf,Egypt, Sitting Volleyball,47,Male,none,none,Egyptian volleyball player Abdallah Abdelsalam.,['none'],['none'],['Egyptian volleyball player Abdallah Abdelsalam']
ABOUELYAZEID Mohamed,Egypt, Sitting Volleyball,42,Male,none,none,none,['none'],['none'],['none']
ABDELALI Samiha,Algeria, Wheelchair Basketball,33,Female,One day for you and one day against you.,none,"Her mother, and coach Abbaz Selim.","['one', 'day', 'for', '-PRON-', 'and', 'one', 'day', 'against', '-PRON-', '.']",['none'],"['Her mother', 'and coach Abbaz Selim']"
ABDELAZIZ Gihan,Egypt, Powerlifting,46,Female,none,none,Her mother.,['none'],['none'],['Her mother']
ELKHARSA Ahmed,Egypt, Sitting Volleyball,23,Male,none,none,none,['none'],['none'],['none']
ABDELHADY Hany,Egypt, Powerlifting,41,Male,"Focus on your goal, work on reaching it, and renew it every now and then to encourage yourself, and eventually you will reach it.","To win a medal at the 2020 Paralympic Games in Tokyo, to set a world record, and to compete at the 2024 Paralympic Games in Paris.",Coach Shabaan Desouky.,"['focus', 'on', '-PRON-', 'goal', ',', 'work', 'on', 'reach', '-PRON-', ',', 'and', 'renew', '-PRON-', 'every', 'now', 'and', 'then', 'to', 'encourage', '-PRON-', ',', 'and', 'eventually', '-PRON-', 'will', 'reach', '-PRON-', '.']","['to', 'win', 'a', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', ',', 'to', 'set', 'a', 'world', 'record', ',', 'and', 'to', 'compete', 'at', 'the', '2024', 'Paralympic', 'Games', 'in', 'Paris', '.']",['Coach Shabaan Desouky']
ABDELLAOUI Cherine,Algeria, Judo,23,Female,none,none,none,['none'],['none'],['none']
ABDELLATIF Abdelnaby,Egypt, Sitting Volleyball,49,Male,none,none,none,['none'],['none'],['none']
ABDELLI Rima,Tunisia, Athletics,33,Female,none,To compete at the 2020 Paralympic Games in Tokyo.,US swimmer Michael Phelps.,['none'],"['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['US swimmer Michael Phelps']
ABDELMAJID Taha,Egypt, Powerlifting,34,Male,none,To win a medal at the 2020 Paralympic Games in Tokyo.,Egyptian Para powerlifter Shaaban Yahya El Desouky.,['none'],"['to', 'win', 'a', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Egyptian Para powerlifter Shaaban Yahya El Desouky']
ABDELSHAFI Malak,Egypt, Swimming,18,Female,Never let your head drop. Never give up or sit down and grieve. Find another way.,To win a gold medal at the 2020 Paralympic Games in Tokyo.,"US swimmer Michael Phelps, British swimmer Adam Peaty, Egyptian footballer Mohamed Salah.","['never', 'let', '-PRON-', 'head', 'drop', '.', 'never', 'give', 'up', 'or', 'sit', 'down', 'and', 'grieve', '.', 'find', 'another', 'way', '.']","['to', 'win', 'a', 'gold', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']","['US swimmer Michael Phelps', 'British swimmer Adam Peaty', 'Egyptian footballer Mohamed Salah']"
ABDI Hassan,Islamic Republic of Iran, Wheelchair Basketball,35,Male,none,none,none,['none'],['none'],['none']
ABDULKHABIBOV Azizbek,Uzbekistan, Canoe Sprint,27,Male,none,To win a gold medal at the Paralympic Games.,none,['none'],"['to', 'win', 'a', 'gold', 'medal', 'at', 'the', 'Paralympic', 'Games', '.']",['none']
ABDULLAKHANLI Kanan,Azerbaijan, Judo,34,Male,none,none,none,['none'],['none'],['none']
ABDULRAHEEM Kovan,Iraq, Athletics,33,Male,"It is important to reach the top, but what is more important is how you are able to maintain the top.",none,His father.,"['-PRON-', 'be', 'important', 'to', 'reach', 'the', 'top', ',', 'but', 'what', 'be', 'more', 'important', 'be', 'how', '-PRON-', 'be', 'able', 'to', 'maintain', 'the', 'top', '.']",['none'],['His father']
ABDYKHALYKOVA Gulbanu,Kazakhstan, Powerlifting,48,Female,none,To compete at the 2020 Paralympic Games in Tokyo.,Kazakhstani powerlifter Lyazat Salimzhanova.,['none'],"['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Kazakhstani powerlifter Lyazat Salimzhanova']
ABE Chisato,Japan, Wheelchair Fencing,42,Female,none,none,none,['none'],['none'],['none']
ABIDAR Mohamed,Libya, Taekwondo,31,Male,none,none,His parents.,['none'],['none'],['His parents']
ABIDOGUN Ola,Great Britain, Athletics,28,Male,"It's not about the disability, it's about the ability.",To compete at the 2020 Paralympic Games in Tokyo.,Jamaican sprinter Usain Bolt.,"['-PRON-', 'be', 'not', 'about', 'the', 'disability', ',', '-PRON-', 'be', 'about', 'the', 'ability', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Jamaican sprinter Usain Bolt']
ABILKHASSYMKYZY Saltanat,Kazakhstan, Athletics,21,Female,none,To win a medal at the 2020 Paralympic Games in Tokyo.,Kazakhstani Para swimmer Zulfiya Gabidullina.,['none'],"['to', 'win', 'a', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Kazakhstani Para swimmer Zulfiya Gabidullina']
ABLINGER Walter,Austria, Cycling Road,52,Male,Live your dream. Success starts in your head.,To compete at the 2020 Paralympic Games in Tokyo.,"US actor Arnold Schwarzenegger, Italian racing driver and Para cyclist Alex Zanardi.","['live', '-PRON-', 'dream', '.', 'success', 'start', 'in', '-PRON-', 'head', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']","['US actor Arnold Schwarzenegger', 'Italian racing driver and Para cyclist Alex Zanardi']"
